landmark,x, y, z
PCLOrigin,-99.24,-147.43,-586.81
femoralCenter,-116.90,-163.83,-607.10
greaterTrochanter,-128.78,-144.67,-190.84
hipCenter,-89.42,-154.82,-191.93
lateralCondyle,-134.67,-156.49,-608.09
lateralEpicondyle,-148.76,-146.45,-583.12
lateralPosteriorCondyle,-127.85,-125.20,-588.82
medialCondyle,-89.98,-158.83,-617.10
medialEpicondyle,-72.11,-166.11,-589.13
medialPosteriorCondyle,-83.10,-132.08,-594.71
medialSulcus,-72.38,-160.32,-592.99
midfemurCenter,-121.67,-178.59,-391.11
whitesideReference,-118.97,-182.37,-596.22
