landmark,x, y, z
PCLOrigin,-99.70,17.03,1223.58
femoralCenter,-110.63,-6.08,1200.99
greaterTrochanter,-145.71,-4.14,1582.13
hipCenter,-93.32,-13.52,1578.23
lateralCondyle,-129.23,-0.99,1196.01
lateralEpicondyle,-144.53,0.09,1219.45
lateralPosteriorCondyle,-133.74,26.78,1215.24
medialCondyle,-86.42,7.30,1192.01
medialEpicondyle,-71.85,6.39,1217.28
medialPosteriorCondyle,-90.73,36.94,1214.63
medialSulcus,-73.31,12.77,1215.59
midfemurCenter,-122.24,-20.22,1396.99
whitesideReference,-108.01,-21.64,1212.02
