landmark,x, y, z
PCLOrigin,-102.05,15.62,-558.39
femoralCenter,-112.22,-3.48,-577.19
greaterTrochanter,-148.99,2.50,-175.47
hipCenter,-103.67,-10.40,-186.04
lateralCondyle,-132.83,7.74,-583.76
lateralEpicondyle,-147.74,11.54,-560.12
lateralPosteriorCondyle,-129.74,34.27,-565.14
medialCondyle,-90.07,6.73,-586.56
medialEpicondyle,-71.81,2.06,-562.56
medialPosteriorCondyle,-88.17,33.30,-567.16
medialSulcus,-74.04,8.71,-565.30
midfemurCenter,-120.00,-11.89,-459.69
whitesideReference,-113.30,-19.61,-563.93
