landmark,x, y, z
hipCenter,100.39,-147.01,-23.56
greaterTrochanter,148.43,-131.18,-3.61
femoralCenter,143.21,-157.71,-438.39
whitesideReference,141.40,-179.51,-424.45
lateralCondyle,172.60,-150.66,-443.46
medialCondyle,114.88,-140.72,-449.99
lateralPosteriorCondyle,167.56,-117.35,-419.98
medialPosteriorCondyle,111.43,-114.13,-427.15
midfemurCenter,140.78,-160.95,-220.41
PCLOrigin,130.28,-136.95,-420.22
lateralEpicondyle,185.10,-145.59,-414.58
medialSulcus,95.28,-142.04,-425.07
medialEpicondyle,93.79,-148.21,-422.82
