landmark,x, y, z
PCLOrigin,-101.14,-5.38,1206.47
femoralCenter,-111.98,-26.96,1186.00
greaterTrochanter,-153.17,0.79,1605.66
hipCenter,-97.92,-8.70,1599.60
lateralCondyle,-136.37,-18.15,1179.54
lateralEpicondyle,-151.34,-16.52,1204.07
lateralPosteriorCondyle,-137.94,8.67,1202.70
medialCondyle,-87.18,-17.55,1177.01
medialEpicondyle,-69.10,-20.53,1203.71
medialPosteriorCondyle,-85.92,11.57,1200.80
medialSulcus,-70.44,-13.58,1201.02
midfemurCenter,-129.76,-33.04,1399.75
whitesideReference,-113.06,-47.13,1202.69
