landmark,x, y, z
hipCenter,-95.52,-10.93,936.74
greaterTrochanter,-155.00,-11.87,934.70
femoralCenter,-85.90,-44.79,486.34
whitesideReference,-83.89,-70.75,509.00
lateralCondyle,-115.26,-36.26,479.39
medialCondyle,-58.67,-32.47,476.89
lateralPosteriorCondyle,-110.35,-3.93,504.99
medialPosteriorCondyle,-55.33,-3.43,501.58
midfemurCenter,-113.05,-44.01,712.50
PCLOrigin,-76.94,-23.67,510.64
lateralEpicondyle,-131.07,-33.20,506.08
medialSulcus,-42.49,-30.48,503.44
medialEpicondyle,-41.39,-36.53,506.62
