landmark,x, y, z
PCLOrigin,-60.29,-5.18,-515.92
femoralCenter,-69.48,-32.49,-540.00
greaterTrochanter,-143.01,11.13,-98.55
hipCenter,-93.22,-2.05,-100.66
lateralCondyle,-95.20,-22.56,-548.60
lateralEpicondyle,-114.88,-13.87,-517.13
lateralPosteriorCondyle,-95.37,9.71,-525.89
medialCondyle,-44.73,-21.65,-549.86
medialEpicondyle,-24.66,-19.16,-515.24
medialPosteriorCondyle,-47.85,13.69,-524.90
medialSulcus,-25.41,-11.50,-518.26
midfemurCenter,-101.69,-26.98,-312.39
whitesideReference,-69.39,-51.38,-520.91
