landmark,x, y, z
hipCenter,-91.56,-137.54,421.83
greaterTrochanter,-153.89,-128.72,428.19
femoralCenter,-91.63,-155.95,-43.77
whitesideReference,-95.47,-181.48,-19.15
lateralCondyle,-112.54,-141.46,-49.51
medialCondyle,-65.58,-145.77,-51.79
lateralPosteriorCondyle,-112.09,-114.04,-23.78
medialPosteriorCondyle,-62.18,-115.76,-27.61
midfemurCenter,-117.76,-159.90,191.29
PCLOrigin,-80.02,-126.74,-16.19
lateralEpicondyle,-133.22,-134.70,-19.70
medialSulcus,-48.33,-140.48,-23.72
medialEpicondyle,-47.56,-148.82,-18.61
