landmark,x, y, z
PCLOrigin,-105.05,18.03,1480.79
femoralCenter,-120.84,0.20,1457.00
greaterTrochanter,-138.94,11.21,1885.73
hipCenter,-81.36,-9.03,1883.99
lateralCondyle,-142.34,9.80,1453.58
lateralEpicondyle,-158.51,14.85,1481.36
lateralPosteriorCondyle,-141.03,40.49,1473.43
medialCondyle,-95.58,6.99,1446.01
medialEpicondyle,-75.19,-0.51,1472.74
medialPosteriorCondyle,-88.80,36.14,1469.07
medialSulcus,-76.54,7.96,1469.75
midfemurCenter,-121.78,-16.85,1679.74
whitesideReference,-121.04,-21.42,1472.01
