landmark,x, y, z
hipCenter,-80.73,-132.89,-111.41
greaterTrochanter,-131.72,-133.16,-103.68
femoralCenter,-75.03,-147.49,-537.57
whitesideReference,-70.24,-166.59,-522.20
lateralCondyle,-98.02,-147.27,-541.60
medialCondyle,-54.73,-134.03,-546.41
lateralPosteriorCondyle,-103.77,-116.69,-526.17
medialPosteriorCondyle,-60.35,-106.28,-527.74
midfemurCenter,-99.99,-152.79,-319.61
PCLOrigin,-71.29,-125.20,-517.97
lateralEpicondyle,-115.51,-141.61,-517.38
medialSulcus,-42.05,-125.61,-520.66
medialEpicondyle,-38.79,-132.20,-517.30
