landmark,x, y, z
PCLOrigin,-65.90,-115.16,1088.15
femoralCenter,-74.92,-136.12,1060.65
greaterTrochanter,-158.41,-127.85,1522.49
hipCenter,-96.88,-147.29,1521.56
lateralCondyle,-100.92,-126.17,1054.60
lateralEpicondyle,-123.32,-118.89,1085.90
lateralPosteriorCondyle,-96.44,-91.20,1081.50
medialCondyle,-47.68,-127.13,1051.60
medialEpicondyle,-26.37,-128.81,1085.27
medialPosteriorCondyle,-46.30,-91.18,1079.39
medialSulcus,-27.39,-121.01,1081.33
midfemurCenter,-101.09,-148.86,1305.59
whitesideReference,-77.40,-156.19,1075.42
