landmark,x, y, z
PCLOrigin,68.59,-99.13,1146.43
femoralCenter,74.76,-122.74,1122.88
greaterTrochanter,137.18,-111.26,1574.37
hipCenter,88.06,-137.00,1572.55
lateralCondyle,99.30,-111.14,1116.57
lateralEpicondyle,115.40,-109.28,1143.36
lateralPosteriorCondyle,98.42,-82.69,1136.76
medialCondyle,53.32,-107.62,1114.88
medialEpicondyle,36.00,-110.08,1145.79
medialPosteriorCondyle,53.77,-78.44,1137.38
medialSulcus,36.88,-102.77,1141.43
midfemurCenter,101.82,-135.70,1354.86
whitesideReference,72.63,-139.22,1135.35
