landmark,x, y, z
PCLOrigin,-66.74,38.76,1025.06
femoralCenter,-72.13,15.79,1003.43
greaterTrochanter,-138.90,-4.18,1412.29
hipCenter,-97.83,-15.23,1413.80
lateralCondyle,-97.08,16.62,998.67
lateralEpicondyle,-114.24,16.77,1023.77
lateralPosteriorCondyle,-103.67,46.43,1020.61
medialCondyle,-47.47,26.18,996.36
medialEpicondyle,-33.83,30.05,1023.54
medialPosteriorCondyle,-57.99,57.84,1022.90
medialSulcus,-36.34,35.78,1021.97
midfemurCenter,-97.20,-11.19,1216.29
whitesideReference,-66.72,-6.97,1015.93
