landmark,x, y, z
PCLOrigin,-68.72,-107.32,959.65
femoralCenter,-81.89,-122.11,939.12
greaterTrochanter,-139.68,-111.30,1316.52
hipCenter,-89.56,-122.69,1322.40
lateralCondyle,-103.36,-114.51,935.12
lateralEpicondyle,-118.46,-102.26,960.49
lateralPosteriorCondyle,-97.59,-86.45,954.43
medialCondyle,-55.02,-119.16,930.13
medialEpicondyle,-39.21,-119.84,960.65
medialPosteriorCondyle,-51.58,-89.63,954.65
medialSulcus,-39.18,-114.15,957.13
midfemurCenter,-103.60,-130.38,1139.10
whitesideReference,-87.36,-142.81,952.80
