landmark,x, y, z
PCLOrigin,-87.97,-136.24,-904.65
femoralCenter,-98.59,-160.65,-923.10
greaterTrochanter,-132.72,-164.76,-482.56
hipCenter,-83.33,-169.57,-485.41
lateralCondyle,-122.00,-151.50,-928.30
lateralEpicondyle,-140.37,-144.55,-900.42
lateralPosteriorCondyle,-122.72,-119.65,-906.36
medialCondyle,-67.89,-146.08,-935.29
medialEpicondyle,-52.16,-148.06,-908.57
medialPosteriorCondyle,-69.20,-114.76,-911.58
medialSulcus,-53.88,-142.59,-912.28
midfemurCenter,-112.26,-175.65,-699.30
whitesideReference,-96.98,-175.71,-909.73
