landmark,x, y, z
hipCenter,-85.04,-25.42,1353.01
greaterTrochanter,-127.99,-11.19,1357.54
femoralCenter,-99.73,-11.81,988.09
whitesideReference,-97.69,-27.07,996.25
lateralCondyle,-120.93,-5.99,985.39
medialCondyle,-78.27,-0.34,978.17
lateralPosteriorCondyle,-123.38,21.09,1004.02
medialPosteriorCondyle,-78.41,25.50,998.54
midfemurCenter,-106.79,-24.87,1170.99
PCLOrigin,-90.47,6.77,1005.09
lateralEpicondyle,-136.13,-1.73,1010.18
medialSulcus,-63.36,6.09,999.05
medialEpicondyle,-61.08,-0.69,1002.45
