landmark,x, y, z
hipCenter,-89.94,28.40,-116.75
greaterTrochanter,-132.88,52.17,-111.77
femoralCenter,-82.82,23.99,-544.65
whitesideReference,-83.51,4.53,-532.44
lateralCondyle,-107.61,32.90,-552.85
medialCondyle,-57.38,25.45,-551.62
lateralPosteriorCondyle,-110.86,61.66,-531.38
medialPosteriorCondyle,-52.31,58.33,-526.61
midfemurCenter,-115.99,12.63,-326.63
PCLOrigin,-70.49,41.44,-521.85
lateralEpicondyle,-123.93,39.83,-528.78
medialSulcus,-41.31,34.09,-524.39
medialEpicondyle,-41.52,27.42,-522.54
