landmark,x, y, z
PCLOrigin,86.71,-139.42,1223.06
femoralCenter,94.53,-164.38,1205.88
greaterTrochanter,128.70,-129.31,1637.59
hipCenter,79.37,-127.98,1631.92
lateralCondyle,120.66,-158.86,1198.87
lateralEpicondyle,136.48,-157.74,1225.26
lateralPosteriorCondyle,125.72,-131.03,1219.48
medialCondyle,68.01,-145.23,1193.89
medialEpicondyle,52.64,-142.59,1221.16
medialPosteriorCondyle,76.54,-117.05,1214.84
medialSulcus,56.54,-136.95,1216.87
midfemurCenter,101.15,-165.12,1424.86
whitesideReference,88.83,-178.68,1219.24
