landmark,x, y, z
PCLOrigin,-93.83,-153.62,-727.27
femoralCenter,-102.86,-178.03,-747.71
greaterTrochanter,-150.51,-177.60,-319.42
hipCenter,-97.58,-176.64,-323.82
lateralCondyle,-126.12,-173.42,-752.37
lateralEpicondyle,-143.68,-167.61,-727.03
lateralPosteriorCondyle,-131.38,-143.52,-730.41
medialCondyle,-78.11,-160.91,-760.23
medialEpicondyle,-60.14,-158.90,-727.70
medialPosteriorCondyle,-85.78,-129.95,-734.68
medialSulcus,-62.90,-153.20,-731.28
midfemurCenter,-109.11,-186.50,-606.61
whitesideReference,-99.93,-197.21,-733.68
