landmark,x, y, z
PCLOrigin,-134.34,-24.44,954.64
femoralCenter,-146.35,-46.41,935.17
greaterTrochanter,-146.85,-24.82,1367.99
hipCenter,-96.88,-33.55,1359.21
lateralCondyle,-167.77,-34.25,931.92
lateralEpicondyle,-182.34,-32.41,958.56
lateralPosteriorCondyle,-165.66,-8.14,951.95
medialCondyle,-121.56,-33.95,920.98
medialEpicondyle,-101.92,-35.71,947.66
medialPosteriorCondyle,-119.89,-4.03,943.83
medialSulcus,-103.96,-30.08,943.91
midfemurCenter,-137.71,-53.12,1152.99
whitesideReference,-142.65,-61.87,946.34
