landmark,x, y, z
hipCenter,92.80,-126.56,-111.77
greaterTrochanter,141.28,-115.56,-111.59
femoralCenter,62.12,-113.41,-537.43
whitesideReference,61.20,-127.17,-522.62
lateralCondyle,82.26,-104.83,-543.46
medialCondyle,38.84,-96.20,-547.26
lateralPosteriorCondyle,87.68,-74.26,-523.79
medialPosteriorCondyle,41.68,-67.32,-524.07
midfemurCenter,93.89,-119.77,-320.51
PCLOrigin,52.94,-86.09,-517.24
lateralEpicondyle,102.46,-98.17,-519.26
medialSulcus,22.96,-88.58,-523.68
medialEpicondyle,20.86,-95.23,-520.61
