landmark,x, y, z
PCLOrigin,-117.77,32.44,-656.51
femoralCenter,-131.70,10.52,-679.10
greaterTrochanter,-141.81,17.51,-222.23
hipCenter,-82.78,5.20,-221.20
lateralCondyle,-158.11,22.16,-684.36
lateralEpicondyle,-173.03,31.05,-653.71
lateralPosteriorCondyle,-150.74,56.20,-662.23
medialCondyle,-102.70,19.74,-691.86
medialEpicondyle,-81.38,13.70,-661.99
medialPosteriorCondyle,-99.61,52.66,-667.94
medialSulcus,-83.04,18.84,-665.55
midfemurCenter,-131.43,2.61,-441.89
whitesideReference,-133.86,-13.15,-663.50
