landmark,x, y, z
PCLOrigin,-79.54,4.72,1236.12
femoralCenter,-96.45,-15.03,1212.01
greaterTrochanter,-136.79,23.90,1640.07
hipCenter,-88.28,5.73,1641.56
lateralCondyle,-117.82,-3.16,1207.82
lateralEpicondyle,-134.53,2.47,1237.74
lateralPosteriorCondyle,-115.91,27.10,1231.31
medialCondyle,-67.37,-10.22,1203.05
medialEpicondyle,-49.16,-16.08,1232.55
medialPosteriorCondyle,-62.64,21.02,1228.43
medialSulcus,-49.62,-9.08,1228.00
midfemurCenter,-108.67,-13.78,1435.99
whitesideReference,-98.91,-35.91,1228.64
