landmark,x, y, z
hipCenter,-96.59,165.01,-132.19
greaterTrochanter,-136.38,195.43,-135.80
femoralCenter,-102.07,171.05,-569.54
whitesideReference,-102.66,152.83,-556.53
lateralCondyle,-123.22,181.06,-573.65
medialCondyle,-73.03,174.10,-579.53
lateralPosteriorCondyle,-120.81,211.42,-552.29
medialPosteriorCondyle,-68.49,205.77,-554.60
midfemurCenter,-114.45,164.34,-344.56
PCLOrigin,-87.22,189.13,-546.83
lateralEpicondyle,-136.79,188.09,-546.61
medialSulcus,-56.70,177.54,-554.79
medialEpicondyle,-56.54,171.10,-551.46
