landmark,x, y, z
PCLOrigin,-124.28,44.03,948.90
femoralCenter,-141.28,26.77,923.21
greaterTrochanter,-146.27,6.79,1413.49
hipCenter,-98.48,-12.80,1400.39
lateralCondyle,-163.58,34.67,914.43
lateralEpicondyle,-181.93,40.30,947.55
lateralPosteriorCondyle,-161.69,65.61,936.92
medialCondyle,-114.65,33.32,911.00
medialEpicondyle,-84.69,37.25,945.00
medialPosteriorCondyle,-111.79,63.60,934.36
medialSulcus,-86.86,42.21,943.35
midfemurCenter,-143.75,-5.86,1166.39
whitesideReference,-142.41,-5.32,947.21
