landmark,x, y, z
PCLOrigin,-77.53,161.29,-471.34
femoralCenter,-86.66,135.99,-490.93
greaterTrochanter,-113.80,200.47,-61.13
hipCenter,-60.94,190.00,-72.12
lateralCondyle,-113.25,146.83,-499.21
lateralEpicondyle,-128.97,149.77,-470.75
lateralPosteriorCondyle,-115.47,173.86,-479.77
medialCondyle,-60.38,154.79,-500.74
medialEpicondyle,-40.70,152.33,-470.02
medialPosteriorCondyle,-61.14,183.27,-479.70
medialSulcus,-43.64,158.57,-474.05
midfemurCenter,-89.25,137.93,-384.75
whitesideReference,-84.61,119.82,-473.20
