landmark,x, y, z
PCLOrigin,-110.31,142.74,-480.42
femoralCenter,-119.68,122.92,-499.53
greaterTrochanter,-158.78,138.74,-72.99
hipCenter,-109.16,127.89,-77.20
lateralCondyle,-142.70,133.84,-507.44
lateralEpicondyle,-158.72,137.36,-481.79
lateralPosteriorCondyle,-141.23,160.74,-484.32
medialCondyle,-97.45,132.18,-508.49
medialEpicondyle,-78.92,132.17,-481.91
medialPosteriorCondyle,-95.11,162.84,-485.29
medialSulcus,-80.69,137.59,-485.33
midfemurCenter,-137.22,109.80,-291.51
whitesideReference,-122.10,103.43,-483.71
