landmark,x, y, z
PCLOrigin,-102.00,55.34,-479.38
femoralCenter,-112.98,35.52,-501.11
greaterTrochanter,-105.63,16.66,-84.03
hipCenter,-62.96,3.62,-92.02
lateralCondyle,-136.38,45.10,-503.73
lateralEpicondyle,-149.07,46.39,-477.75
lateralPosteriorCondyle,-135.69,72.87,-483.78
medialCondyle,-87.40,43.16,-512.46
medialEpicondyle,-71.03,42.96,-483.06
medialPosteriorCondyle,-87.32,74.22,-489.60
medialSulcus,-72.57,50.77,-486.25
midfemurCenter,-103.16,11.83,-291.14
whitesideReference,-109.98,15.78,-487.39
