landmark,x, y, z
PCLOrigin,-120.91,-1.52,1053.61
femoralCenter,-134.48,-21.08,1035.37
greaterTrochanter,-137.14,-7.20,1452.63
hipCenter,-93.59,-17.59,1447.65
lateralCondyle,-156.24,-13.07,1030.50
lateralEpicondyle,-172.09,-3.65,1058.32
lateralPosteriorCondyle,-155.37,16.42,1051.79
medialCondyle,-105.78,-8.94,1021.51
medialEpicondyle,-88.11,-13.58,1046.59
medialPosteriorCondyle,-105.22,16.41,1043.30
medialSulcus,-90.44,-7.74,1043.59
midfemurCenter,-127.30,-29.41,1245.49
whitesideReference,-134.18,-38.36,1050.48
