landmark,x, y, z
hipCenter,87.08,-124.53,-188.15
greaterTrochanter,139.50,-114.09,-189.71
femoralCenter,58.31,-123.25,-596.34
whitesideReference,56.90,-141.85,-584.71
lateralCondyle,78.70,-124.84,-602.09
medialCondyle,38.36,-114.74,-603.10
lateralPosteriorCondyle,89.18,-94.89,-581.25
medialPosteriorCondyle,40.25,-84.82,-580.17
midfemurCenter,87.12,-136.32,-389.11
PCLOrigin,52.41,-105.95,-575.78
lateralEpicondyle,96.45,-118.81,-580.23
medialSulcus,22.08,-106.71,-578.31
medialEpicondyle,20.96,-110.72,-575.76
