landmark,x, y, z
PCLOrigin,-71.72,7.03,-534.36
femoralCenter,-83.30,-12.25,-554.19
greaterTrochanter,-119.28,22.57,-144.85
hipCenter,-71.03,4.46,-147.73
lateralCondyle,-104.42,-1.27,-558.49
lateralEpicondyle,-120.32,8.91,-531.96
lateralPosteriorCondyle,-105.36,28.89,-539.10
medialCondyle,-57.80,-6.72,-562.49
medialEpicondyle,-41.29,-9.95,-535.75
medialPosteriorCondyle,-53.22,24.21,-540.24
medialSulcus,-41.85,-3.19,-539.52
midfemurCenter,-98.80,-10.38,-343.51
whitesideReference,-88.67,-30.37,-538.44
