landmark,x, y, z
PCLOrigin,-93.06,-115.82,-610.16
femoralCenter,-102.70,-138.26,-634.79
greaterTrochanter,-152.56,-139.49,-151.11
hipCenter,-95.54,-147.72,-159.13
lateralCondyle,-128.28,-133.14,-638.80
lateralEpicondyle,-143.86,-130.64,-604.87
lateralPosteriorCondyle,-130.25,-101.74,-611.91
medialCondyle,-70.90,-124.53,-644.79
medialEpicondyle,-54.19,-123.10,-615.96
medialPosteriorCondyle,-75.02,-91.74,-616.46
medialSulcus,-57.52,-116.89,-619.18
midfemurCenter,-116.83,-153.58,-388.81
whitesideReference,-95.90,-158.13,-622.44
