landmark,x, y, z
PCLOrigin,-76.60,9.33,-504.41
femoralCenter,-88.61,-11.66,-523.09
greaterTrochanter,-125.61,25.21,-100.62
hipCenter,-75.33,13.61,-106.24
lateralCondyle,-110.09,-1.20,-528.12
lateralEpicondyle,-125.96,6.60,-499.90
lateralPosteriorCondyle,-108.85,28.02,-506.60
medialCondyle,-62.22,-1.46,-531.86
medialEpicondyle,-42.05,-4.44,-506.48
medialPosteriorCondyle,-60.83,25.03,-511.36
medialSulcus,-44.14,2.59,-509.65
midfemurCenter,-102.06,-9.57,-305.64
whitesideReference,-89.90,-28.17,-509.19
