landmark,x, y, z
PCLOrigin,-111.65,10.88,-548.43
femoralCenter,-113.93,-15.81,-566.51
greaterTrochanter,-135.85,-0.65,-137.24
hipCenter,-88.94,-2.42,-139.75
lateralCondyle,-139.94,-12.23,-572.72
lateralEpicondyle,-153.39,-10.72,-549.58
lateralPosteriorCondyle,-143.67,18.23,-552.83
medialCondyle,-100.53,3.74,-576.53
medialEpicondyle,-78.75,10.64,-552.37
medialPosteriorCondyle,-107.24,33.39,-557.46
medialSulcus,-82.05,15.06,-554.94
midfemurCenter,-119.00,-20.20,-347.81
whitesideReference,-107.02,-30.41,-554.48
