landmark,x, y, z
PCLOrigin,92.65,-100.70,514.55
femoralCenter,99.20,-121.73,495.82
greaterTrochanter,163.90,-134.92,893.65
hipCenter,119.83,-147.26,895.20
lateralCondyle,120.79,-115.45,489.87
lateralEpicondyle,137.49,-113.16,512.99
lateralPosteriorCondyle,123.44,-89.06,508.38
medialCondyle,79.35,-109.29,487.81
medialEpicondyle,60.88,-107.70,515.48
medialPosteriorCondyle,82.78,-80.13,509.44
medialSulcus,63.71,-100.82,511.72
midfemurCenter,123.87,-144.40,702.79
whitesideReference,96.74,-136.31,505.72
