landmark,x, y, z
PCLOrigin,-104.13,-10.99,421.63
femoralCenter,-119.80,-34.73,403.27
greaterTrochanter,-129.00,44.24,821.94
hipCenter,-80.25,20.68,819.06
lateralCondyle,-146.01,-21.82,395.64
lateralEpicondyle,-158.49,-18.55,424.09
lateralPosteriorCondyle,-141.40,8.09,417.48
medialCondyle,-89.61,-21.90,391.90
medialEpicondyle,-67.40,-24.48,418.84
medialPosteriorCondyle,-87.58,8.27,411.49
medialSulcus,-68.66,-17.78,413.97
midfemurCenter,-120.31,-11.83,616.87
whitesideReference,-118.90,-53.88,422.34
