landmark,x, y, z
PCLOrigin,97.22,-105.49,126.57
femoralCenter,110.38,-124.92,106.31
greaterTrochanter,134.10,-112.62,515.32
hipCenter,76.63,-127.08,507.47
lateralCondyle,131.17,-119.73,102.21
lateralEpicondyle,148.64,-112.03,128.20
lateralPosteriorCondyle,135.67,-88.23,124.19
medialCondyle,83.10,-116.83,95.31
medialEpicondyle,66.22,-116.66,121.46
medialPosteriorCondyle,78.61,-88.50,117.10
medialSulcus,66.98,-110.72,119.24
midfemurCenter,115.21,-136.30,313.29
whitesideReference,108.72,-141.70,118.02
