landmark,x, y, z
hipCenter,-92.10,25.48,1701.07
greaterTrochanter,-144.61,39.11,1706.82
femoralCenter,-96.26,-45.99,1254.21
whitesideReference,-96.81,-63.77,1270.57
lateralCondyle,-119.94,-32.73,1246.50
medialCondyle,-66.85,-29.91,1243.51
lateralPosteriorCondyle,-117.36,-2.40,1267.97
medialPosteriorCondyle,-68.72,-1.42,1267.85
midfemurCenter,-113.94,-25.22,1482.49
PCLOrigin,-86.16,-18.60,1274.63
lateralEpicondyle,-136.52,-26.56,1274.10
medialSulcus,-51.89,-27.26,1268.31
medialEpicondyle,-49.99,-32.28,1272.70
