landmark,x, y, z
PCLOrigin,-97.40,-108.44,1111.74
femoralCenter,-115.37,-126.15,1091.88
greaterTrochanter,-135.01,-115.43,1535.68
hipCenter,-88.40,-147.52,1521.42
lateralCondyle,-135.54,-114.26,1086.93
lateralEpicondyle,-151.39,-100.61,1116.30
lateralPosteriorCondyle,-128.93,-83.19,1109.85
medialCondyle,-85.63,-124.04,1081.89
medialEpicondyle,-67.87,-129.84,1112.13
medialPosteriorCondyle,-76.26,-93.90,1106.73
medialSulcus,-68.11,-124.30,1109.35
midfemurCenter,-130.05,-137.95,1314.87
whitesideReference,-122.67,-146.11,1108.15
