landmark,x, y, z
PCLOrigin,-117.45,52.15,-473.53
femoralCenter,-129.64,30.49,-492.22
greaterTrochanter,-134.07,41.86,-97.13
hipCenter,-86.87,33.88,-112.20
lateralCondyle,-148.75,41.52,-497.13
lateralEpicondyle,-163.21,48.91,-471.33
lateralPosteriorCondyle,-146.32,71.92,-476.67
medialCondyle,-104.05,42.26,-503.36
medialEpicondyle,-85.22,41.90,-478.09
medialPosteriorCondyle,-103.04,70.85,-483.02
medialSulcus,-86.31,46.94,-480.91
midfemurCenter,-124.29,25.29,-295.88
whitesideReference,-128.44,12.33,-477.25
