landmark,x, y, z
PCLOrigin,-92.11,75.44,1076.39
femoralCenter,-96.09,52.77,1056.45
greaterTrochanter,-153.24,54.68,1457.45
hipCenter,-104.12,53.54,1456.15
lateralCondyle,-121.36,58.37,1048.49
lateralEpicondyle,-136.59,58.62,1073.48
lateralPosteriorCondyle,-125.21,83.97,1070.26
medialCondyle,-73.97,70.42,1048.51
medialEpicondyle,-59.65,75.33,1073.38
medialPosteriorCondyle,-81.96,97.34,1069.46
medialSulcus,-61.77,80.10,1070.73
midfemurCenter,-112.88,42.74,1265.49
whitesideReference,-91.88,38.80,1067.73
