landmark,x, y, z
hipCenter,-87.49,19.82,-109.99
greaterTrochanter,-131.84,41.86,-101.67
femoralCenter,-109.84,-8.86,-565.10
whitesideReference,-110.54,-34.34,-540.42
lateralCondyle,-134.77,8.22,-572.64
medialCondyle,-78.62,2.80,-576.54
lateralPosteriorCondyle,-129.74,36.96,-551.90
medialPosteriorCondyle,-79.13,33.62,-552.03
midfemurCenter,-118.65,-6.42,-329.50
PCLOrigin,-99.55,10.14,-543.84
lateralEpicondyle,-150.14,8.72,-541.36
medialSulcus,-63.03,1.39,-549.48
medialEpicondyle,-62.11,-4.49,-546.96
