landmark,x, y, z
PCLOrigin,-74.28,-169.12,-983.39
femoralCenter,-85.73,-191.14,-1004.19
greaterTrochanter,-151.49,-123.07,-547.20
hipCenter,-94.38,-139.43,-550.78
lateralCondyle,-110.83,-178.31,-1011.19
lateralEpicondyle,-129.36,-171.51,-981.85
lateralPosteriorCondyle,-110.46,-146.70,-989.73
medialCondyle,-55.16,-185.50,-1015.19
medialEpicondyle,-38.76,-189.43,-982.94
medialPosteriorCondyle,-50.88,-151.77,-992.49
medialSulcus,-38.79,-182.71,-985.51
midfemurCenter,-100.81,-178.94,-856.20
whitesideReference,-90.72,-209.82,-989.10
