landmark,x, y, z
hipCenter,98.80,-129.85,-70.05
greaterTrochanter,149.21,-113.41,-58.80
femoralCenter,120.83,-190.28,-540.79
whitesideReference,121.00,-213.77,-517.11
lateralCondyle,143.71,-180.75,-547.22
medialCondyle,93.78,-182.09,-548.99
lateralPosteriorCondyle,144.52,-149.08,-525.31
medialPosteriorCondyle,92.29,-149.98,-526.52
midfemurCenter,136.07,-170.63,-296.01
PCLOrigin,110.66,-168.07,-515.61
lateralEpicondyle,161.35,-175.88,-518.79
medialSulcus,75.05,-178.02,-524.53
medialEpicondyle,73.51,-185.02,-520.10
