landmark,x, y, z
PCLOrigin,-99.06,51.64,1119.68
femoralCenter,-110.09,31.23,1100.00
greaterTrochanter,-125.31,25.19,1503.95
hipCenter,-84.37,18.89,1499.73
lateralCondyle,-128.76,33.87,1096.08
lateralEpicondyle,-146.16,36.49,1121.87
lateralPosteriorCondyle,-132.75,61.81,1117.66
medialCondyle,-89.13,43.17,1091.13
medialEpicondyle,-68.35,42.48,1115.89
medialPosteriorCondyle,-88.40,70.39,1113.02
medialSulcus,-70.57,49.00,1112.87
midfemurCenter,-109.33,6.55,1307.99
whitesideReference,-106.38,16.17,1109.64
