landmark,x, y, z
PCLOrigin,-80.18,34.66,1015.43
femoralCenter,-95.51,20.50,993.38
greaterTrochanter,-129.28,22.01,1446.06
hipCenter,-81.67,-4.17,1433.36
lateralCondyle,-114.23,37.03,986.70
lateralEpicondyle,-133.58,35.81,1016.23
lateralPosteriorCondyle,-107.77,60.98,1014.44
medialCondyle,-66.67,28.48,983.39
medialEpicondyle,-46.42,14.67,1011.79
medialPosteriorCondyle,-61.49,50.77,1012.60
medialSulcus,-47.60,20.46,1006.88
midfemurCenter,-108.31,0.22,1196.78
whitesideReference,-102.52,-3.09,1022.25
