landmark,x, y, z
PCLOrigin,-96.41,60.47,1116.56
femoralCenter,-102.02,36.73,1094.99
greaterTrochanter,-124.77,45.99,1529.02
hipCenter,-76.14,38.22,1522.72
lateralCondyle,-127.16,36.19,1090.89
lateralEpicondyle,-142.76,39.06,1117.55
lateralPosteriorCondyle,-135.14,64.88,1112.98
medialCondyle,-76.19,53.19,1085.01
medialEpicondyle,-60.50,60.14,1111.95
medialPosteriorCondyle,-87.40,83.02,1110.42
medialSulcus,-64.32,65.81,1109.11
midfemurCenter,-102.51,20.70,1315.99
whitesideReference,-94.72,19.48,1109.39
