landmark,x, y, z
hipCenter,-73.86,9.76,-85.73
greaterTrochanter,-120.68,37.80,-81.40
femoralCenter,-139.34,-12.15,-552.80
whitesideReference,-144.87,-36.40,-537.71
lateralCondyle,-158.76,3.04,-557.79
medialCondyle,-104.09,-12.01,-567.62
lateralPosteriorCondyle,-144.08,34.46,-533.23
medialPosteriorCondyle,-92.86,19.18,-544.28
midfemurCenter,-126.06,-7.62,-302.00
PCLOrigin,-117.87,4.50,-531.09
lateralEpicondyle,-175.47,15.23,-526.52
medialSulcus,-83.52,-17.88,-539.48
medialEpicondyle,-85.81,-24.82,-533.09
