landmark,x, y, z
PCLOrigin,115.76,-131.48,1033.53
femoralCenter,132.56,-150.16,1013.40
greaterTrochanter,128.59,-117.08,1438.40
hipCenter,89.59,-144.57,1429.46
lateralCondyle,151.33,-138.09,1007.49
lateralEpicondyle,168.83,-126.15,1033.76
lateralPosteriorCondyle,148.16,-107.97,1024.44
medialCondyle,104.76,-147.82,1000.39
medialEpicondyle,84.45,-151.97,1028.91
medialPosteriorCondyle,96.43,-116.45,1021.48
medialSulcus,85.08,-145.06,1024.86
midfemurCenter,129.83,-144.10,1226.37
whitesideReference,133.85,-167.74,1026.92
