landmark,x, y, z
hipCenter,-82.36,-15.26,-54.55
greaterTrochanter,-120.04,-1.34,-43.59
femoralCenter,-99.74,4.24,-455.39
whitesideReference,-99.54,-15.64,-439.60
lateralCondyle,-118.10,10.85,-460.43
medialCondyle,-75.74,10.02,-463.65
lateralPosteriorCondyle,-117.31,39.70,-440.61
medialPosteriorCondyle,-71.23,38.15,-442.25
midfemurCenter,-106.27,-11.97,-376.69
PCLOrigin,-89.02,18.70,-436.13
lateralEpicondyle,-133.87,16.77,-437.75
medialSulcus,-59.86,12.88,-441.57
medialEpicondyle,-58.89,7.63,-439.31
