landmark,x, y, z
PCLOrigin,-94.10,-3.32,-559.55
femoralCenter,-103.16,-25.93,-576.61
greaterTrochanter,-134.40,-7.34,-169.34
hipCenter,-84.04,-15.90,-183.44
lateralCondyle,-126.77,-18.42,-580.36
lateralEpicondyle,-142.01,-12.38,-556.15
lateralPosteriorCondyle,-127.70,10.26,-561.16
medialCondyle,-78.14,-13.52,-584.11
medialEpicondyle,-62.88,-16.68,-555.58
medialPosteriorCondyle,-80.03,16.45,-562.44
medialSulcus,-64.32,-9.96,-558.57
midfemurCenter,-115.59,-27.82,-374.14
whitesideReference,-102.02,-42.96,-564.68
