landmark,x, y, z
hipCenter,-85.94,155.47,-134.07
greaterTrochanter,-137.09,168.51,-123.07
femoralCenter,-72.04,147.12,-537.04
whitesideReference,-72.76,132.06,-526.04
lateralCondyle,-92.68,151.55,-542.01
medialCondyle,-48.95,158.53,-544.98
lateralPosteriorCondyle,-94.71,182.53,-524.19
medialPosteriorCondyle,-47.10,187.31,-523.75
midfemurCenter,-100.14,147.94,-329.03
PCLOrigin,-62.77,168.22,-517.38
lateralEpicondyle,-111.15,163.25,-519.45
medialSulcus,-32.60,164.16,-520.85
medialEpicondyle,-31.23,157.56,-518.11
