landmark,x, y, z
hipCenter,-74.51,-25.58,1384.50
greaterTrochanter,-117.05,-11.85,1393.96
femoralCenter,-125.36,-20.27,1003.18
whitesideReference,-125.65,-35.92,1012.99
lateralCondyle,-143.28,-12.21,1000.02
medialCondyle,-99.22,-13.69,994.02
lateralPosteriorCondyle,-141.48,15.82,1018.27
medialPosteriorCondyle,-92.96,11.14,1012.94
midfemurCenter,-118.33,-32.40,1173.49
PCLOrigin,-110.83,-1.98,1019.54
lateralEpicondyle,-156.21,-5.35,1022.62
medialSulcus,-83.14,-12.52,1014.47
medialEpicondyle,-82.68,-16.47,1017.09
