landmark,x, y, z
PCLOrigin,-130.65,-13.37,1088.46
femoralCenter,-137.20,-39.33,1070.98
greaterTrochanter,-166.85,3.30,1493.50
hipCenter,-112.91,-6.69,1484.41
lateralCondyle,-163.68,-28.31,1065.54
lateralEpicondyle,-180.91,-27.58,1092.38
lateralPosteriorCondyle,-165.42,-2.03,1086.03
medialCondyle,-112.88,-19.33,1058.51
medialEpicondyle,-94.62,-19.65,1086.37
medialPosteriorCondyle,-117.92,7.83,1079.45
medialSulcus,-98.91,-13.72,1083.00
midfemurCenter,-144.78,-33.17,1285.25
whitesideReference,-133.18,-52.82,1084.46
