landmark,x, y, z
PCLOrigin,-84.60,40.68,1070.82
femoralCenter,-92.05,20.35,1051.52
greaterTrochanter,-135.17,14.03,1468.50
hipCenter,-87.88,5.71,1465.97
lateralCondyle,-110.20,22.36,1046.58
lateralEpicondyle,-129.44,25.41,1070.84
lateralPosteriorCondyle,-118.95,49.53,1065.44
medialCondyle,-68.28,33.85,1042.80
medialEpicondyle,-54.75,35.25,1068.26
medialPosteriorCondyle,-73.33,60.36,1062.69
medialSulcus,-56.64,40.69,1065.38
midfemurCenter,-102.35,5.48,1266.50
whitesideReference,-88.81,1.90,1062.67
