landmark,x, y, z
PCLOrigin,-71.33,163.82,516.30
femoralCenter,-82.20,142.63,498.69
greaterTrochanter,-127.49,164.75,926.00
hipCenter,-84.45,150.27,921.15
lateralCondyle,-104.40,149.70,493.68
lateralEpicondyle,-119.71,156.52,521.58
lateralPosteriorCondyle,-106.90,179.91,513.96
medialCondyle,-58.67,153.19,488.67
medialEpicondyle,-41.63,151.87,514.50
medialPosteriorCondyle,-55.56,181.77,509.66
medialSulcus,-42.69,157.53,511.82
midfemurCenter,-101.22,143.15,714.91
whitesideReference,-82.42,123.20,512.56
