landmark,x, y, z
PCLOrigin,-96.52,182.35,-486.84
femoralCenter,-104.46,164.50,-507.45
greaterTrochanter,-134.59,190.56,-98.42
hipCenter,-86.62,173.20,-102.49
lateralCondyle,-126.36,174.13,-512.15
lateralEpicondyle,-139.94,176.99,-486.78
lateralPosteriorCondyle,-123.32,201.19,-491.93
medialCondyle,-84.54,172.33,-516.18
medialEpicondyle,-66.79,169.32,-486.94
medialPosteriorCondyle,-79.66,201.09,-491.40
medialSulcus,-67.17,174.53,-490.15
midfemurCenter,-121.01,159.21,-298.21
whitesideReference,-106.66,146.64,-494.43
