landmark,x, y, z
PCLOrigin,134.57,-27.91,-583.25
femoralCenter,147.51,-48.89,-601.63
greaterTrochanter,147.97,26.23,-189.87
hipCenter,101.89,10.30,-205.92
lateralCondyle,165.92,-39.99,-606.79
lateralEpicondyle,182.26,-36.01,-580.90
lateralPosteriorCondyle,166.53,-11.19,-587.67
medialCondyle,125.39,-40.88,-611.65
medialEpicondyle,101.83,-40.59,-587.08
medialPosteriorCondyle,120.38,-8.47,-589.98
medialSulcus,103.79,-33.53,-592.07
midfemurCenter,146.10,-30.65,-394.14
whitesideReference,146.90,-69.49,-584.77
