landmark,x, y, z
PCLOrigin,99.97,-102.80,1047.28
femoralCenter,112.78,-121.01,1026.14
greaterTrochanter,124.87,-102.51,1414.80
hipCenter,81.74,-116.89,1407.66
lateralCondyle,129.16,-114.95,1022.01
lateralEpicondyle,145.19,-106.55,1049.79
lateralPosteriorCondyle,128.94,-85.37,1041.07
medialCondyle,86.97,-114.79,1017.02
medialEpicondyle,72.51,-116.79,1042.25
medialPosteriorCondyle,85.63,-86.32,1036.58
medialSulcus,73.14,-111.03,1039.44
midfemurCenter,113.58,-123.17,1222.00
whitesideReference,111.06,-137.10,1038.46
