landmark,x, y, z
PCLOrigin,-51.80,-108.85,-579.87
femoralCenter,-52.30,-132.55,-601.29
greaterTrochanter,-126.10,-116.85,-205.34
hipCenter,-76.97,-116.93,-203.36
lateralCondyle,-70.26,-130.53,-607.24
lateralEpicondyle,-90.74,-135.31,-583.69
lateralPosteriorCondyle,-86.16,-105.52,-587.91
medialCondyle,-37.32,-116.01,-608.14
medialEpicondyle,-19.71,-112.11,-581.63
medialPosteriorCondyle,-44.54,-87.74,-585.08
medialSulcus,-23.18,-107.04,-584.56
midfemurCenter,-81.73,-138.64,-395.31
whitesideReference,-46.34,-146.54,-592.42
