landmark,x, y, z
hipCenter,-107.42,14.21,1555.57
greaterTrochanter,-163.07,31.31,1558.55
femoralCenter,-131.16,6.88,1104.47
whitesideReference,-130.82,-12.23,1114.83
lateralCondyle,-150.21,12.03,1099.51
medialCondyle,-103.79,15.52,1096.51
lateralPosteriorCondyle,-155.05,47.15,1122.45
medialPosteriorCondyle,-102.78,49.24,1121.03
midfemurCenter,-141.27,1.38,1335.49
PCLOrigin,-118.46,28.78,1127.93
lateralEpicondyle,-171.29,21.16,1126.17
medialSulcus,-86.46,18.31,1122.94
medialEpicondyle,-85.73,13.77,1124.90
