landmark,x, y, z
PCLOrigin,-94.20,9.25,-535.48
femoralCenter,-103.56,-10.63,-557.65
greaterTrochanter,-154.15,9.56,-153.75
hipCenter,-92.65,1.79,-146.93
lateralCondyle,-127.96,-3.13,-564.13
lateralEpicondyle,-142.72,-1.33,-536.33
lateralPosteriorCondyle,-129.39,26.63,-543.71
medialCondyle,-76.14,-2.92,-566.31
medialEpicondyle,-61.63,-3.68,-536.21
medialPosteriorCondyle,-77.56,28.59,-544.42
medialSulcus,-62.46,2.94,-539.58
midfemurCenter,-108.45,-12.10,-452.57
whitesideReference,-102.40,-28.92,-545.02
