landmark,x, y, z
hipCenter,-68.40,16.17,1627.38
greaterTrochanter,-113.40,44.96,1631.21
femoralCenter,-118.72,17.03,1216.84
whitesideReference,-121.47,-1.78,1232.71
lateralCondyle,-138.37,26.86,1212.04
medialCondyle,-94.33,22.90,1205.00
lateralPosteriorCondyle,-137.57,56.30,1233.08
medialPosteriorCondyle,-90.67,54.13,1227.37
midfemurCenter,-115.85,12.12,1425.99
PCLOrigin,-107.70,34.11,1234.76
lateralEpicondyle,-152.37,33.24,1239.59
medialSulcus,-78.55,27.18,1227.87
medialEpicondyle,-78.11,19.47,1231.65
