landmark,x, y, z
hipCenter,-74.32,-57.19,1574.02
greaterTrochanter,-112.21,-45.65,1568.49
femoralCenter,-38.37,-45.16,1192.40
whitesideReference,-35.45,-58.68,1201.81
lateralCondyle,-61.69,-42.91,1184.57
medialCondyle,-16.57,-31.75,1186.46
lateralPosteriorCondyle,-66.96,-13.96,1205.90
medialPosteriorCondyle,-23.44,-3.57,1205.88
midfemurCenter,-63.59,-56.51,1385.49
PCLOrigin,-35.31,-24.79,1208.31
lateralEpicondyle,-79.01,-39.65,1208.01
medialSulcus,-6.60,-23.54,1209.20
medialEpicondyle,-4.67,-29.19,1211.95
